debug | INFO flwr 2024-07-13 02:15:04,230 | app.py:193 | Starting Flower simulation, config: num_rounds=7, no round_timeout
debug | INFO flwr 2024-07-13 02:23:10,220 | server.py:111 | [ROUND 3]
debug | INFO flwr 2024-07-13 02:23:10,220 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:26:43,382 | server.py:238 | aggregate_fit: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:26:44,755 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:27:00,511 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:27:00,511 | server.py:110 | 
debug | INFO flwr 2024-07-13 02:27:00,511 | server.py:111 | [ROUND 4]
debug | INFO flwr 2024-07-13 02:27:00,511 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:30:33,343 | server.py:238 | aggregate_fit: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:30:34,814 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:30:51,788 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:30:51,788 | server.py:110 | 
debug | INFO flwr 2024-07-13 02:30:51,788 | server.py:111 | [ROUND 5]
debug | INFO flwr 2024-07-13 02:30:51,788 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:34:24,050 | server.py:238 | aggregate_fit: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:34:25,434 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:34:40,993 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:34:40,994 | server.py:110 | 
debug | INFO flwr 2024-07-13 02:34:40,994 | server.py:111 | [ROUND 6]
debug | INFO flwr 2024-07-13 02:34:40,994 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:38:15,347 | server.py:238 | aggregate_fit: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:38:16,967 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:38:32,638 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:38:32,639 | server.py:110 | 
debug | INFO flwr 2024-07-13 02:38:32,639 | server.py:111 | [ROUND 7]
debug | INFO flwr 2024-07-13 02:38:32,639 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:42:05,448 | server.py:238 | aggregate_fit: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:42:06,807 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
debug | INFO flwr 2024-07-13 02:42:22,405 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
debug | INFO flwr 2024-07-13 02:42:22,440 | server.py:494 | 
debug | INFO flwr 2024-07-13 02:42:22,440 | server.py:495 | [SUMMARY]
debug | INFO flwr 2024-07-13 02:42:22,440 | server.py:496 | Run finished 7 round(s) in 1617.51s
debug | INFO flwr 2024-07-13 02:42:22,440 | server.py:498 | 	History (loss, distributed):
debug | INFO flwr 2024-07-13 02:42:22,440 | server.py:498 | 		round 1: 6.198715496063232
debug | INFO flwr 2024-07-13 02:42:22,441 | server.py:498 | 		round 2: 5.969318962097168
debug | INFO flwr 2024-07-13 02:42:22,441 | server.py:498 | 		round 3: 5.866032600402832
debug | INFO flwr 2024-07-13 02:42:22,441 | server.py:498 | 		round 4: 5.820975017547608
debug | INFO flwr 2024-07-13 02:42:22,441 | server.py:498 | 		round 5: 5.780938720703125
debug | INFO flwr 2024-07-13 02:42:22,441 | server.py:498 | 		round 6: 5.760835838317871
debug | INFO flwr 2024-07-13 02:42:22,441 | server.py:498 | 		round 7: 5.752380275726319
debug | INFO flwr 2024-07-13 02:42:22,441 | server.py:499 | 
